70;REALIDADE;;;;;;;;;;;
2;VALE3;Commodities;245;R$ 52,82;R$ 75,03;42,05%;R$ 5.441,45;1,86%;7,12%;10,11%;R$ 18.382,35;R$ 12.940,90
2;GGBR4;Commodities;400;R$ 15,58;R$ 22,15;42,17%;R$ 2.628,00;0,89%;5,19%;7,38%;R$ 8.860,00;R$ 6.232,00
2;KLBN3;Commodities;1500;R$ 3,65;R$ 3,84;5,21%;R$ 285,00;0,58%;4,17%;4,38%;R$ 5.760,00;R$ 5.475,00
2;WEGE3;Commodities;50;R$ 43,83;R$ 49,27;12,41%;R$ 272,00;0,25%;1,40%;1,57%;R$ 2.463,50;R$ 2.191,50
0;Classe de Ativo;Risco do Ativo;Compras;Ativos;Preço com;P.Atual/P.Médio;Ganho/Perda;% na carteira;Dividend Yield (último 12 meses);;Saldo Total;Saldo Investido
0;FIIS;Qualificado;Realizadas;13;15min. atraso;-2,26%;-R$ 15.282,88;36,16%;valor atual;valor pago;R$ 358.287,98;R$ 373.570,86
11;Ativo;Risco;Adquirido;Preço Médio;Preço Atual;Variação;Representa;% na carteira;D.Y.;Yield on Cost;Saldo;Investido
2;BTLG11;Ancoragem;300;R$ 97,59;R$ 98,37;0,80%;R$ 234,00;2,98%;9,76%;9,84%;R$ 29.511,00;R$ 29.277,00
2;GGRC11;Ancoragem;4500;R$ 9,86;R$ 9,06;-8,11%;-R$ 3.600,00;4,11%;13,02%;11,97%;R$ 40.770,00;R$ 44.370,00
2;HGLG11;Ancoragem;150;R$ 150,02;R$ 147,21;-1,87%;-R$ 421,50;2,23%;9,03%;8,87%;R$ 22.081,50;R$ 22.503,00
2;XPML11;Ancoragem;400;R$ 106,04;R$ 98,40;-7,20%;-R$ 3.056,00;3,97%;11,34%;10,52%;R$ 39.360,00;R$ 42.416,00
2;HGBS11;Ancoragem;2000;R$ 19,75;R$ 18,60;-5,82%;-R$ 2.300,00;3,75%;10,38%;9,77%;R$ 37.200,00;R$ 39.500,00
2;LVBI11;Ancoragem;102;R$ 98,43;R$ 98,49;0,06%;R$ 6,12;1,01%;10,97%;10,97%;R$ 10.045,98;R$ 10.039,86
2;GARE11;Crescimento;4500;R$ 8,62;R$ 8,22;-4,64%;-R$ 1.800,00;3,73%;12,29%;11,72%;R$ 36.990,00;R$ 38.790,00
2;PMLL11;Crescimento;350;R$ 103,88;R$ 100,83;-2,94%;-R$ 1.067,50;3,56%;11,21%;10,88%;R$ 35.290,50;R$ 36.358,00
2;XPLG11;Crescimento;350;R$ 99,16;R$ 90,00;-9,24%;-R$ 3.206,00;3,18%;10,93%;9,92%;R$ 31.500,00;R$ 34.706,00
