80;REALIDADE;;;;;;;;;;;;;;;
0;Carteira;;;;Patrimonio Total;(%) Patrimônio;;Investimento;Ganho de Capital;(%) Ganho;Ativos Investidos;;Total;;Em Oportunidade;
2;VISC11;Crescimento;2;1;R$ 99,09;3,01%;R$ 2,98;R$ 102,07;R$ 116,20;0,894;0;R$ 0,00;R$ 99,09;R$ 0,00;3,01%;14,73%
2;HSLG11;Cautela;2;1;R$ 75,48;2,52%;R$ 1,90;R$ 77,38;R$ 109,79;0,782;0;R$ 0,00;R$ 75,48;R$ 0,00;2,52%;31,25%
2;VILG11;Cautela;2;1;R$ 80,10;14,33%;R$ 11,48;R$ 91,58;R$ 112,02;0,807;0;R$ 0,00;R$ 80,10;R$ 0,00;14,33%;28,49%
2;RECR11;Cautela;4;2;R$ 81,14;-6,20%;-R$ 10,06;R$ 76,11;R$ 88,87;0,884;0;R$ 0,00;R$ 81,14;R$ 0,00;-6,20%;8,70%
0;Classe de Ativo;Risco do Ativo;Cálculo;Compras;Ativos;(PM/PA);Ganho/Perda;Valuation;;;Simule a compra;Total Investido;Ativos;Preço Alvo;Margem Segurança;
0;ETFS;Qualificado;Patrimônio;Realizadas;2;18,78%;R$ 39,92;Índices;;;Aqui;R$ 0,00;0;Chegou;(PM/PA);(PM/PT)
11;Ativo;Risco;Desejado;Adquirido;Preço Médio;Variação;ganho/perda;Preço Atual;Preço Teto;TEC;Comprar;Investi/o;Novo (PM);Avisar;Variação;upside
2;IVVB11;ETF-USA;2;1;R$ 406,27;9,78%;R$ 39,73;R$ 446,00;R$ 502,98;20,00%;0;R$ 0,00;R$ 406,27;R$ 0,00;9,78%;19,23%
2;SPXB11;ETF-USA;0;0;R$ 0,00;0,00%;R$ 0,00;R$ 17,41;R$ 19,67;20,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;NASD11;ETF-USA;0;0;R$ 0,00;0,00%;R$ 0,00;R$ 20,89;R$ 22,94;20,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;WRLD11;ETF-USA;1;0;R$ 0,00;0,00%;R$ 0,00;R$ 149,80;R$ 168,50;20,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;GOLD11;Res.Mercado;5;0;R$ 0,00;0,00%;R$ 0,00;R$ 24,87;R$ 22,32;20,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;BTCBRL;Res.Mercado;0,00030631;0,00009000;R$ 406.004,90;0,51%;R$ 0,19;R$ 408.079,00;R$ 360.000,00;20,00%;0;R$ 0,00;R$ 406.004,90;R$ 0,00;0,51%;-12,78%
0;Classe de Ativo;Risco do Ativo;Cálculo;Compras;Ativos;(PM/PA);Ganho/Perda;Valuation;;;Simule a compra;Total Investido;Ativos;Preço Alvo;Margem Segurança;
0;BDRS;Qualificado;Patrimônio;Realizadas;8;12,54%;R$ 78,64;Preço Teto Projetivo;;;Aqui;R$ 0,00;0;Chegou;(PM/PA);(PM/PT)
11;Ativo;Risco;Desejado;Adquirido;Preço Médio;Variação;ganho/perda;Preço Atual;Preço Teto;Upside;Comprar;Investi/o;Novo (PM);Avisar;Variação;upside
2;NVDC34;Stocks;7;2;R$ 19,83;14,73%;R$ 5,84;R$ 22,75;R$ 25,30;10,08%;0;R$ 0,00;R$ 19,83;R$ 0,00;14,73%;21,62%
2;MSFT34;Stocks;1;1;R$ 88,72;18,42%;R$ 16,34;R$ 105,06;R$ 125,53;16,31%;0;R$ 0,00;R$ 88,72;R$ 0,00;18,42%;29,32%
2;GOGL34;Stocks;1;1;R$ 133,20;11,63%;R$ 15,49;R$ 148,69;R$ 194,96;23,73%;0;R$ 0,00;R$ 133,20;R$ 0,00;11,63%;31,68%
2;AMZO34;Stocks;2;1;R$ 59,93;12,05%;R$ 7,22;R$ 67,15;R$ 67,06;-0,13%;0;R$ 0,00;R$ 59,93;R$ 0,00;12,05%;10,64%
2;AAPL34;Stocks;2;0;R$ 0,00;0,00%;R$ 0,00;R$ 79,65;R$ 76,49;-4,12%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;NFLX34;Stocks;13;4;R$ 7,63;10,62%;R$ 3,24;R$ 8,44;R$ 19,64;57,03%;0;R$ 0,00;R$ 7,63;R$ 0,00;10,62%;61,16%
