ATIVOS DA CARTEIRA;;;;;;;
IPCA+2029;25,00%;1,00%;R$ 100,00;R$ 3.798,04;0,03;1,00;R$ 3.798,04
IPCA+2040;25,00%;1,00%;R$ 100,00;R$ 1.635,77;0,06;0,00;R$ 0,00
IPCA+2050;25,00%;1,00%;R$ 100,00;R$ 900,59;0,11;0,00;R$ 0,00
RENDA+2065;25,00%;1,00%;R$ 100,00;R$ 188,64;0,53;0,00;R$ 0,00
;;;;;;;
RF (Prefixado);100,00%;4,00%;R$ 400,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 830,91
PRE2028;35,00%;1,40%;R$ 140,00;R$ 830,91;0,17;1,00;R$ 830,91
PRE2029;35,00%;1,40%;R$ 140,00;R$ 704,46;0,20;0,00;R$ 0,00
PRE2032;30,00%;1,20%;R$ 120,00;R$ 477,13;0,25;0,00;R$ 0,00
;;;;;;;
RF (Pós-fixado);100,00%;2,00%;R$ 200,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 1,00
CDB100DI;50,00%;1,00%;R$ 100,00;R$ 1,00;100,00;1,00;R$ 1,00
LFTB11;50,00%;1,00%;R$ 100,00;R$ 124,36;0,80;0,00;R$ 0,00
