;;;;DESEJADO;;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;BBDC4;4;R$ 12,18;37,85%;R$ 18,44;1,56%;R$ 67,16;
2;ITUB4;2;R$ 31,57;23,54%;R$ 14,86;1,81%;R$ 78,00;
2;BBAS3;3;R$ 21,88;-11,88%;-R$ 7,80;1,34%;R$ 57,84;
2;CMIG3;4;R$ 14,03;8,48%;R$ 4,76;1,41%;R$ 60,88;
2;TAEE3;5;R$ 11,58;10,02%;R$ 5,80;1,48%;R$ 63,70;
2;SAPR3;9;R$ 6,58;4,26%;R$ 2,52;1,43%;R$ 61,74;
2;SBSP3;2;R$ 23,00;13,00%;R$ 5,98;1,21%;R$ 51,98;
2;CXSE3;3;R$ 14,33;28,75%;R$ 12,36;1,28%;R$ 55,35;
2;BBSE3;1;R$ 33,77;10,33%;R$ 3,49;0,86%;R$ 37,26;
2;VIVT3;1;R$ 28,74;4,87%;R$ 1,40;0,70%;R$ 30,14;
2;FIQE3;6;R$ 3,97;25,94%;R$ 6,18;0,70%;R$ 30,00;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;AÇÕES (COMMODITIES);;;27,27%;5;7,53%;R$ 324,30;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;PETR4;3;R$ 30,90;34,82%;R$ 32,28;2,90%;R$ 124,98;
2;VALE3;1;R$ 52,82;40,86%;R$ 21,58;1,73%;R$ 74,40;
2;GGBR4;1;R$ 15,58;55,07%;R$ 8,58;0,56%;R$ 24,16;
2;KLBN3;15;R$ 3,65;-2,47%;-R$ 1,35;1,24%;R$ 53,40;
2;WEGE3;1;R$ 43,83;8,05%;R$ 3,53;1,10%;R$ 47,36;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;FIIS (ANCORAGEM);;;-1,50%;6;23,97%;R$ 1.032,78;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;BTLG11;2;R$ 97,59;2,86%;R$ 5,58;4,66%;R$ 200,76;
2;GGRC11;20;R$ 9,86;-2,74%;-R$ 5,40;4,45%;R$ 191,80;
2;HGLG11;1;R$ 150,02;-2,98%;-R$ 4,47;3,38%;R$ 145,55;
2;XPML11;2;R$ 106,04;-2,29%;-R$ 4,86;4,81%;R$ 207,22;
2;HGBS11;10;R$ 19,75;-4,76%;-R$ 9,40;4,36%;R$ 188,10;
2;LVBI11;1;R$ 98,43;0,93%;R$ 0,92;2,31%;R$ 99,35;
